"filename", "language", "Markdown", "JSON", "XML", "C#", "HTTP", "comment", "blank", "total"
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Authentication\LoginRequest.cs", "C#", 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Authentication\RegisterRequest.cs", "C#", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Customers\CustomerRegisterRequest.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Customers\CustomerRegisterResponse.cs", "C#", 0, 0, 0, 14, 0, 1, 4, 19
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\MemberInfo.Contracts.csproj", "XML", 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Products\CreateProductRequest.cs", "C#", 0, 0, 0, 17, 0, 3, 4, 24
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Contracts\Products\ProductResponse.cs", "C#", 0, 0, 0, 11, 0, 0, 7, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Errors\Errors.Authentication.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Errors\Errors.NullReference.cs", "C#", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Errors\Errors.User.cs", "C#", 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Interfaces\Authentication\IJwtTokenGenerator.cs", "C#", 0, 0, 0, 10, 0, 0, 3, 13
